sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_60,60,1,10,Design
RandomTask_198,198,1,6,Design FrontEnd
RandomTask_397,397,1,7,BackEnd FrontEnd
RandomTask_231,231,1,7,BackEnd Design FrontEnd
RandomTask_3,3,1,7,Design
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_157,157,1,8,BackEnd
RandomTask_303,303,1,10,Design
RandomTask_171,171,1,6,FrontEnd
RandomTask_307,307,1,3,BackEnd Design
RandomTask_134,134,1,3,BackEnd FrontEnd
RandomTask_118,118,1,9,BackEnd FrontEnd
RandomTask_362,362,1,10,Design
RandomTask_215,215,1,10,Design FrontEnd
RandomTask_203,203,1,6,FrontEnd
RandomTask_292,292,1,1,BackEnd Design FrontEnd
RandomTask_193,193,1,4,Design FrontEnd
RandomTask_109,109,1,9,BackEnd Design FrontEnd
RandomTask_138,138,1,3,BackEnd Design FrontEnd
RandomTask_353,353,1,3,BackEnd
RandomTask_252,252,1,5,BackEnd Design FrontEnd
RandomTask_359,359,1,2,BackEnd FrontEnd
RandomTask_169,169,1,5,Design FrontEnd
RandomTask_239,239,1,10,Design
RandomTask_113,113,1,2,BackEnd Design
RandomTask_385,385,1,7,Design FrontEnd
RandomTask_77,77,1,7,FrontEnd
RandomTask_143,143,1,8,Design
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_133,133,1,6,Design FrontEnd
RandomTask_27,27,1,4,FrontEnd
RandomTask_371,371,1,1,BackEnd Design
RandomTask_159,159,1,7,Design
RandomTask_104,104,1,7,BackEnd FrontEnd
RandomTask_38,38,1,6,Design FrontEnd
RandomTask_200,200,1,5,BackEnd
RandomTask_66,66,1,10,FrontEnd
RandomTask_82,82,1,10,Design
RandomTask_258,258,1,1,Design
RandomTask_235,235,1,7,BackEnd
RandomTask_111,111,1,4,FrontEnd
RandomTask_163,163,1,7,BackEnd Design
RandomTask_194,194,1,5,Design FrontEnd
RandomTask_36,36,1,3,BackEnd
RandomTask_98,98,1,6,BackEnd FrontEnd
RandomTask_309,309,1,7,Design
RandomTask_399,399,1,8,Design
