sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_135,135,1,10,BackEnd Design
RandomTask_17,17,1,10,Design FrontEnd
RandomTask_124,124,1,7,BackEnd
RandomTask_131,131,1,3,FrontEnd
RandomTask_190,190,1,5,BackEnd
RandomTask_92,92,1,8,Design
RandomTask_195,195,1,9,FrontEnd
RandomTask_259,259,1,9,BackEnd Design
RandomTask_55,55,1,7,BackEnd
RandomTask_12,12,1,5,BackEnd Design
RandomTask_182,182,1,3,BackEnd
RandomTask_34,34,1,8,BackEnd Design FrontEnd
RandomTask_344,344,1,10,BackEnd Design
RandomTask_97,97,1,3,Design
RandomTask_321,321,1,1,BackEnd FrontEnd
RandomTask_196,196,1,1,FrontEnd
RandomTask_86,86,1,10,BackEnd
RandomTask_213,213,1,4,Design FrontEnd
RandomTask_246,246,1,5,BackEnd
RandomTask_15,15,1,8,BackEnd Design
RandomTask_204,204,1,1,BackEnd Design
RandomTask_60,60,1,10,Design
RandomTask_198,198,1,6,Design FrontEnd
RandomTask_397,397,1,7,BackEnd FrontEnd
RandomTask_231,231,1,7,BackEnd Design FrontEnd
RandomTask_3,3,1,7,Design
RandomTask_322,322,1,1,BackEnd FrontEnd
