sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_319,319,1,5,Design FrontEnd
RandomTask_199,199,1,8,BackEnd Design
RandomTask_81,81,1,5,BackEnd Design FrontEnd
RandomTask_121,121,1,9,BackEnd Design FrontEnd
RandomTask_230,230,1,9,BackEnd FrontEnd
RandomTask_307,307,1,3,BackEnd Design
RandomTask_27,27,1,4,FrontEnd
RandomTask_72,72,1,5,Design FrontEnd
RandomTask_382,382,1,7,BackEnd
RandomTask_176,176,1,10,Design FrontEnd
RandomTask_34,34,1,8,BackEnd Design FrontEnd
RandomTask_369,369,1,6,FrontEnd
RandomTask_187,187,1,3,BackEnd FrontEnd
RandomTask_137,137,1,4,Design FrontEnd
RandomTask_331,331,1,2,BackEnd FrontEnd
RandomTask_321,321,1,1,BackEnd FrontEnd
RandomTask_127,127,1,2,Design FrontEnd
RandomTask_7,7,1,6,Design
RandomTask_36,36,1,3,BackEnd
RandomTask_215,215,1,10,Design FrontEnd
RandomTask_32,32,1,4,Design
RandomTask_394,394,1,3,FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_300,300,1,3,BackEnd
RandomTask_93,93,1,3,Design FrontEnd
RandomTask_180,180,1,2,BackEnd
RandomTask_249,249,1,9,BackEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_375,375,1,9,BackEnd FrontEnd
RandomTask_283,283,1,2,Design FrontEnd
RandomTask_160,160,1,9,Design
RandomTask_234,234,1,3,FrontEnd
RandomTask_376,376,1,8,BackEnd Design FrontEnd
RandomTask_59,59,1,1,FrontEnd
RandomTask_42,42,1,5,BackEnd
RandomTask_73,73,1,10,Design FrontEnd
RandomTask_157,157,1,8,BackEnd
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_205,205,1,9,BackEnd
RandomTask_103,103,1,5,Design
RandomTask_99,99,1,4,FrontEnd
RandomTask_10,10,1,8,Design
RandomTask_197,197,1,2,BackEnd Design
