sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_270,270,1,8,BackEnd Design
RandomTask_332,332,1,5,BackEnd
RandomTask_343,343,1,9,BackEnd FrontEnd
RandomTask_240,240,1,2,BackEnd FrontEnd
RandomTask_325,325,1,5,BackEnd Design
RandomTask_375,375,1,9,BackEnd FrontEnd
RandomTask_119,119,1,5,Design
RandomTask_50,50,1,9,BackEnd Design FrontEnd
RandomTask_254,254,1,2,Design FrontEnd
RandomTask_297,297,1,8,Design FrontEnd
RandomTask_255,255,1,7,FrontEnd
RandomTask_173,173,1,3,Design
RandomTask_22,22,1,3,BackEnd FrontEnd
RandomTask_212,212,1,10,BackEnd
