sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_317,317,1,6,Design FrontEnd
RandomTask_266,266,1,9,FrontEnd
RandomTask_56,56,1,6,Design FrontEnd
RandomTask_45,45,1,9,BackEnd Design
RandomTask_208,208,1,2,Design
RandomTask_50,50,1,9,BackEnd Design FrontEnd
RandomTask_115,115,1,10,BackEnd Design FrontEnd
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_291,291,1,4,BackEnd Design FrontEnd
RandomTask_108,108,1,10,BackEnd Design FrontEnd
RandomTask_161,161,1,7,BackEnd FrontEnd
RandomTask_253,253,1,9,FrontEnd
RandomTask_341,341,1,10,Design
RandomTask_95,95,1,2,Design
RandomTask_334,334,1,10,BackEnd FrontEnd
RandomTask_320,320,1,6,BackEnd Design FrontEnd
RandomTask_373,373,1,5,Design
RandomTask_32,32,1,4,Design
RandomTask_307,307,1,3,BackEnd Design
RandomTask_187,187,1,3,BackEnd FrontEnd
RandomTask_118,118,1,9,BackEnd FrontEnd
RandomTask_165,165,1,7,Design
RandomTask_61,61,1,9,BackEnd Design
RandomTask_54,54,1,1,FrontEnd
RandomTask_287,287,1,1,BackEnd Design FrontEnd
