sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_290,290,1,9,BackEnd Design FrontEnd
RandomTask_25,25,1,4,BackEnd
RandomTask_357,357,1,9,Design
RandomTask_268,268,1,7,BackEnd Design FrontEnd
RandomTask_353,353,1,3,BackEnd
RandomTask_212,212,1,10,BackEnd
RandomTask_149,149,1,3,BackEnd Design
RandomTask_72,72,1,5,Design FrontEnd
RandomTask_14,14,1,8,BackEnd
RandomTask_156,156,1,5,BackEnd FrontEnd
RandomTask_383,383,1,6,Design
RandomTask_62,62,1,10,Design
RandomTask_111,111,1,4,FrontEnd
RandomTask_157,157,1,8,BackEnd
RandomTask_124,124,1,7,BackEnd
RandomTask_92,92,1,8,Design
RandomTask_285,285,1,1,Design
RandomTask_390,390,1,4,Design FrontEnd
RandomTask_230,230,1,9,BackEnd FrontEnd
RandomTask_51,51,1,6,FrontEnd
RandomTask_138,138,1,3,BackEnd Design FrontEnd
RandomTask_109,109,1,9,BackEnd Design FrontEnd
RandomTask_189,189,1,6,BackEnd Design FrontEnd
RandomTask_301,301,1,6,BackEnd FrontEnd
RandomTask_188,188,1,7,Design FrontEnd
RandomTask_221,221,1,7,BackEnd FrontEnd
RandomTask_99,99,1,4,FrontEnd
RandomTask_362,362,1,10,Design
RandomTask_144,144,1,10,Design FrontEnd
RandomTask_84,84,1,6,BackEnd Design
RandomTask_98,98,1,6,BackEnd FrontEnd
RandomTask_110,110,1,6,Design
RandomTask_128,128,1,6,BackEnd Design FrontEnd
RandomTask_30,30,1,7,BackEnd FrontEnd
