sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_284,284,1,10,BackEnd Design FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_332,332,1,5,BackEnd
RandomTask_142,142,1,9,BackEnd Design
RandomTask_384,384,1,1,BackEnd
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_153,153,1,4,BackEnd Design
RandomTask_25,25,1,4,BackEnd
RandomTask_368,368,1,1,BackEnd Design
RandomTask_14,14,1,8,BackEnd
RandomTask_259,259,1,9,BackEnd Design
RandomTask_399,399,1,8,Design
RandomTask_33,33,1,8,BackEnd
RandomTask_164,164,1,3,BackEnd
RandomTask_276,276,1,10,Design FrontEnd
RandomTask_29,29,1,5,FrontEnd
RandomTask_35,35,1,2,BackEnd FrontEnd
RandomTask_138,138,1,3,BackEnd Design FrontEnd
RandomTask_298,298,1,2,BackEnd FrontEnd
RandomTask_275,275,1,3,BackEnd
RandomTask_315,315,1,3,FrontEnd
RandomTask_252,252,1,5,BackEnd Design FrontEnd
RandomTask_67,67,1,2,BackEnd Design FrontEnd
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_116,116,1,10,FrontEnd
RandomTask_255,255,1,7,FrontEnd
RandomTask_391,391,1,2,Design
