sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_118,118,1,9,BackEnd FrontEnd
RandomTask_134,134,1,3,BackEnd FrontEnd
RandomTask_106,106,1,4,BackEnd Design FrontEnd
RandomTask_15,15,1,8,BackEnd Design
RandomTask_76,76,1,1,FrontEnd
RandomTask_232,232,1,3,BackEnd Design FrontEnd
RandomTask_275,275,1,3,BackEnd
RandomTask_300,300,1,3,BackEnd
RandomTask_315,315,1,3,FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_33,33,1,8,BackEnd
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_105,105,1,8,BackEnd Design FrontEnd
RandomTask_39,39,1,5,BackEnd Design
RandomTask_278,278,1,9,BackEnd Design FrontEnd
RandomTask_186,186,1,7,BackEnd Design FrontEnd
RandomTask_273,273,1,1,Design
RandomTask_238,238,1,3,BackEnd Design FrontEnd
RandomTask_395,395,1,3,Design
RandomTask_327,327,1,1,BackEnd FrontEnd
