sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_257,257,1,9,Design
RandomTask_286,286,1,5,Design
RandomTask_26,26,1,9,BackEnd FrontEnd
RandomTask_299,299,1,8,Design
RandomTask_368,368,1,1,BackEnd Design
RandomTask_28,28,1,6,BackEnd FrontEnd
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_139,139,1,3,BackEnd
RandomTask_109,109,1,9,BackEnd Design FrontEnd
RandomTask_77,77,1,7,FrontEnd
RandomTask_138,138,1,3,BackEnd Design FrontEnd
RandomTask_190,190,1,5,BackEnd
RandomTask_153,153,1,4,BackEnd Design
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_259,259,1,9,BackEnd Design
RandomTask_166,166,1,7,BackEnd FrontEnd
RandomTask_241,241,1,4,BackEnd Design
RandomTask_1,1,1,8,BackEnd Design
RandomTask_29,29,1,5,FrontEnd
RandomTask_186,186,1,7,BackEnd Design FrontEnd
RandomTask_45,45,1,9,BackEnd Design
RandomTask_196,196,1,1,FrontEnd
RandomTask_192,192,1,6,BackEnd Design
RandomTask_311,311,1,5,FrontEnd
RandomTask_53,53,1,3,Design
RandomTask_89,89,1,2,BackEnd Design FrontEnd
RandomTask_165,165,1,7,Design
RandomTask_18,18,1,1,BackEnd Design FrontEnd
RandomTask_389,389,1,3,Design FrontEnd
