sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_242,242,1,7,Design FrontEnd
RandomTask_246,246,1,5,BackEnd
RandomTask_296,296,1,9,BackEnd
RandomTask_283,283,1,2,Design FrontEnd
RandomTask_85,85,1,2,BackEnd
RandomTask_80,80,1,10,BackEnd FrontEnd
RandomTask_61,61,1,9,BackEnd Design
RandomTask_76,76,1,1,FrontEnd
RandomTask_149,149,1,3,BackEnd Design
RandomTask_72,72,1,5,Design FrontEnd
RandomTask_84,84,1,6,BackEnd Design
RandomTask_378,378,1,8,BackEnd Design
RandomTask_40,40,1,6,BackEnd Design FrontEnd
RandomTask_65,65,1,4,Design
RandomTask_92,92,1,8,Design
RandomTask_396,396,1,8,Design FrontEnd
RandomTask_49,49,1,9,BackEnd FrontEnd
RandomTask_303,303,1,10,Design
RandomTask_287,287,1,1,BackEnd Design FrontEnd
RandomTask_104,104,1,7,BackEnd FrontEnd
RandomTask_256,256,1,10,BackEnd Design
RandomTask_377,377,1,5,BackEnd Design FrontEnd
RandomTask_2,2,1,6,Design
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_13,13,1,1,BackEnd FrontEnd
RandomTask_217,217,1,4,BackEnd Design
RandomTask_335,335,1,1,Design FrontEnd
