sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_190,190,1,5,BackEnd
RandomTask_16,16,1,9,BackEnd FrontEnd
RandomTask_63,63,1,5,BackEnd FrontEnd
RandomTask_287,287,1,1,BackEnd Design FrontEnd
RandomTask_96,96,1,7,BackEnd Design FrontEnd
RandomTask_131,131,1,3,FrontEnd
RandomTask_310,310,1,4,Design FrontEnd
RandomTask_396,396,1,8,Design FrontEnd
RandomTask_313,313,1,5,BackEnd Design FrontEnd
RandomTask_366,366,1,5,Design FrontEnd
RandomTask_379,379,1,1,BackEnd Design
RandomTask_345,345,1,6,BackEnd Design FrontEnd
RandomTask_282,282,1,4,BackEnd FrontEnd
RandomTask_53,53,1,3,Design
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_238,238,1,3,BackEnd Design FrontEnd
RandomTask_55,55,1,7,BackEnd
RandomTask_338,338,1,5,FrontEnd
RandomTask_271,271,1,5,BackEnd Design
RandomTask_186,186,1,7,BackEnd Design FrontEnd
RandomTask_298,298,1,2,BackEnd FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_163,163,1,7,BackEnd Design
RandomTask_46,46,1,7,BackEnd
RandomTask_113,113,1,2,BackEnd Design
RandomTask_376,376,1,8,BackEnd Design FrontEnd
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_381,381,1,3,Design
RandomTask_85,85,1,2,BackEnd
RandomTask_220,220,1,3,BackEnd Design
RandomTask_21,21,1,5,FrontEnd
RandomTask_349,349,1,6,BackEnd Design
