sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_3,3,1,7,Design
RandomTask_275,275,1,3,BackEnd
RandomTask_23,23,1,10,Design
RandomTask_167,167,1,4,Design FrontEnd
RandomTask_195,195,1,9,FrontEnd
RandomTask_87,87,1,9,Design
RandomTask_260,260,1,3,Design
RandomTask_80,80,1,10,BackEnd FrontEnd
RandomTask_336,336,1,3,BackEnd FrontEnd
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_192,192,1,6,BackEnd Design
RandomTask_47,47,1,10,BackEnd
RandomTask_97,97,1,3,Design
RandomTask_68,68,1,7,BackEnd Design
RandomTask_263,263,1,2,BackEnd Design
RandomTask_94,94,1,8,FrontEnd
RandomTask_234,234,1,3,FrontEnd
RandomTask_60,60,1,10,Design
RandomTask_37,37,1,6,BackEnd
RandomTask_115,115,1,10,BackEnd Design FrontEnd
RandomTask_222,222,1,10,BackEnd
RandomTask_84,84,1,6,BackEnd Design
RandomTask_124,124,1,7,BackEnd
RandomTask_321,321,1,1,BackEnd FrontEnd
RandomTask_110,110,1,6,Design
RandomTask_31,31,1,2,BackEnd FrontEnd
RandomTask_331,331,1,2,BackEnd FrontEnd
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_174,174,1,7,BackEnd
RandomTask_165,165,1,7,Design
RandomTask_342,342,1,1,Design
RandomTask_51,51,1,6,FrontEnd
RandomTask_8,8,1,2,Design FrontEnd
RandomTask_276,276,1,10,Design FrontEnd
RandomTask_243,243,1,3,FrontEnd
RandomTask_39,39,1,5,BackEnd Design
RandomTask_305,305,1,1,Design FrontEnd
RandomTask_26,26,1,9,BackEnd FrontEnd
RandomTask_295,295,1,7,BackEnd
RandomTask_329,329,1,4,BackEnd FrontEnd
RandomTask_368,368,1,1,BackEnd Design
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_391,391,1,2,Design
