sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_371,371,1,1,BackEnd Design
RandomTask_248,248,1,1,BackEnd Design
RandomTask_236,236,1,5,Design FrontEnd
RandomTask_284,284,1,10,BackEnd Design FrontEnd
RandomTask_203,203,1,6,FrontEnd
RandomTask_25,25,1,4,BackEnd
RandomTask_393,393,1,10,BackEnd Design
RandomTask_184,184,1,7,BackEnd FrontEnd
RandomTask_21,21,1,5,FrontEnd
RandomTask_196,196,1,1,FrontEnd
RandomTask_13,13,1,1,BackEnd FrontEnd
RandomTask_119,119,1,5,Design
RandomTask_167,167,1,4,Design FrontEnd
RandomTask_349,349,1,6,BackEnd Design
RandomTask_396,396,1,8,Design FrontEnd
