sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_146,146,1,6,Design
RandomTask_359,359,1,2,BackEnd FrontEnd
RandomTask_309,309,1,7,Design
RandomTask_340,340,1,10,Design
RandomTask_244,244,1,10,FrontEnd
RandomTask_103,103,1,5,Design
RandomTask_262,262,1,7,Design FrontEnd
RandomTask_88,88,1,5,Design
RandomTask_172,172,1,10,Design FrontEnd
RandomTask_257,257,1,9,Design
RandomTask_7,7,1,6,Design
RandomTask_200,200,1,5,BackEnd
RandomTask_378,378,1,8,BackEnd Design
RandomTask_287,287,1,1,BackEnd Design FrontEnd
RandomTask_22,22,1,3,BackEnd FrontEnd
RandomTask_79,79,1,2,Design FrontEnd
RandomTask_337,337,1,3,BackEnd FrontEnd
RandomTask_26,26,1,9,BackEnd FrontEnd
RandomTask_60,60,1,10,Design
RandomTask_330,330,1,10,BackEnd Design FrontEnd
RandomTask_78,78,1,9,FrontEnd
RandomTask_368,368,1,1,BackEnd Design
RandomTask_42,42,1,5,BackEnd
RandomTask_222,222,1,10,BackEnd
RandomTask_145,145,1,9,FrontEnd
RandomTask_338,338,1,5,FrontEnd
RandomTask_1,1,1,8,BackEnd Design
RandomTask_82,82,1,10,Design
RandomTask_250,250,1,9,BackEnd Design FrontEnd
RandomTask_122,122,1,1,BackEnd FrontEnd
RandomTask_194,194,1,5,Design FrontEnd
RandomTask_87,87,1,9,Design
RandomTask_141,141,1,8,Design
RandomTask_181,181,1,8,BackEnd
RandomTask_6,6,1,6,BackEnd
RandomTask_46,46,1,7,BackEnd
RandomTask_169,169,1,5,Design FrontEnd
RandomTask_383,383,1,6,Design
RandomTask_292,292,1,1,BackEnd Design FrontEnd
RandomTask_168,168,1,6,Design FrontEnd
RandomTask_148,148,1,4,Design FrontEnd
RandomTask_313,313,1,5,BackEnd Design FrontEnd
RandomTask_258,258,1,1,Design
RandomTask_282,282,1,4,BackEnd FrontEnd
RandomTask_389,389,1,3,Design FrontEnd
RandomTask_294,294,1,10,BackEnd Design
RandomTask_242,242,1,7,Design FrontEnd
