sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_237,237,1,3,BackEnd
RandomTask_265,265,1,6,FrontEnd
RandomTask_83,83,1,3,BackEnd Design
RandomTask_249,249,1,9,BackEnd
RandomTask_303,303,1,10,Design
RandomTask_217,217,1,4,BackEnd Design
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_49,49,1,9,BackEnd FrontEnd
RandomTask_309,309,1,7,Design
RandomTask_319,319,1,5,Design FrontEnd
RandomTask_373,373,1,5,Design
RandomTask_280,280,1,3,Design
