sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_56,56,1,6,Design FrontEnd
RandomTask_50,50,1,9,BackEnd Design FrontEnd
RandomTask_225,225,1,8,Design FrontEnd
RandomTask_340,340,1,10,Design
RandomTask_96,96,1,7,BackEnd Design FrontEnd
RandomTask_120,120,1,6,BackEnd Design FrontEnd
RandomTask_61,61,1,9,BackEnd Design
RandomTask_329,329,1,4,BackEnd FrontEnd
RandomTask_122,122,1,1,BackEnd FrontEnd
RandomTask_134,134,1,3,BackEnd FrontEnd
RandomTask_167,167,1,4,Design FrontEnd
RandomTask_211,211,1,2,Design FrontEnd
