sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_224,224,1,10,Design
RandomTask_282,282,1,4,BackEnd FrontEnd
RandomTask_317,317,1,6,Design FrontEnd
RandomTask_20,20,1,7,BackEnd Design FrontEnd
RandomTask_129,129,1,3,Design
RandomTask_64,64,1,5,BackEnd Design
RandomTask_18,18,1,1,BackEnd Design FrontEnd
RandomTask_53,53,1,3,Design
RandomTask_102,102,1,9,Design
RandomTask_234,234,1,3,FrontEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_142,142,1,9,BackEnd Design
RandomTask_48,48,1,1,Design FrontEnd
RandomTask_276,276,1,10,Design FrontEnd
RandomTask_362,362,1,10,Design
RandomTask_100,100,1,6,FrontEnd
RandomTask_192,192,1,6,BackEnd Design
RandomTask_21,21,1,5,FrontEnd
RandomTask_203,203,1,6,FrontEnd
RandomTask_150,150,1,1,Design FrontEnd
RandomTask_117,117,1,1,FrontEnd
RandomTask_5,5,1,6,FrontEnd
RandomTask_37,37,1,6,BackEnd
