sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_329,329,1,4,BackEnd FrontEnd
RandomTask_368,368,1,1,BackEnd Design
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_391,391,1,2,Design
RandomTask_103,103,1,5,Design
RandomTask_333,333,1,6,FrontEnd
RandomTask_319,319,1,5,Design FrontEnd
RandomTask_74,74,1,7,BackEnd Design
RandomTask_311,311,1,5,FrontEnd
RandomTask_4,4,1,3,BackEnd Design
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_120,120,1,6,BackEnd Design FrontEnd
RandomTask_400,400,1,1,BackEnd FrontEnd
RandomTask_272,272,1,9,Design FrontEnd
RandomTask_61,61,1,9,BackEnd Design
RandomTask_30,30,1,7,BackEnd FrontEnd
