sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_223,223,1,9,BackEnd Design
RandomTask_5,5,1,6,FrontEnd
RandomTask_292,292,1,1,BackEnd Design FrontEnd
RandomTask_145,145,1,9,FrontEnd
RandomTask_304,304,1,8,FrontEnd
RandomTask_4,4,1,3,BackEnd Design
RandomTask_339,339,1,6,Design FrontEnd
RandomTask_63,63,1,5,BackEnd FrontEnd
RandomTask_361,361,1,10,BackEnd Design FrontEnd
RandomTask_326,326,1,2,FrontEnd
RandomTask_190,190,1,5,BackEnd
RandomTask_134,134,1,3,BackEnd FrontEnd
RandomTask_318,318,1,6,BackEnd FrontEnd
RandomTask_280,280,1,3,Design
RandomTask_210,210,1,3,BackEnd Design
RandomTask_324,324,1,1,BackEnd
RandomTask_85,85,1,2,BackEnd
RandomTask_235,235,1,7,BackEnd
RandomTask_330,330,1,10,BackEnd Design FrontEnd
RandomTask_333,333,1,6,FrontEnd
RandomTask_96,96,1,7,BackEnd Design FrontEnd
RandomTask_36,36,1,3,BackEnd
RandomTask_165,165,1,7,Design
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_67,67,1,2,BackEnd Design FrontEnd
RandomTask_174,174,1,7,BackEnd
RandomTask_317,317,1,6,Design FrontEnd
RandomTask_229,229,1,10,BackEnd
RandomTask_176,176,1,10,Design FrontEnd
RandomTask_115,115,1,10,BackEnd Design FrontEnd
RandomTask_198,198,1,6,Design FrontEnd
RandomTask_368,368,1,1,BackEnd Design
RandomTask_308,308,1,10,BackEnd Design FrontEnd
RandomTask_94,94,1,8,FrontEnd
RandomTask_182,182,1,3,BackEnd
RandomTask_70,70,1,5,BackEnd FrontEnd
